game_id,game_date
1022100081,2021-06-22
1022100140,2021-08-22
1022100169,2021-09-07
1042100111,2021-09-23
1042100201,2021-09-26
1042100301,2021-09-28
1042100302,2021-09-30
1042100303,2021-10-03
1042100304,2021-10-06
1042100401,2021-10-10
1042100402,2021-10-13
1042100403,2021-10-15
1042100404,2021-10-17
1042100311,2021-09-28
1042100312,2021-09-30
1042100313,2021-10-03
1042100314,2021-10-06
1042100315,2021-10-08
1042100101,2021-09-23
1042100211,2021-09-26
1022200006,2022-05-07
1022200012,2022-05-11
1022200016,2022-05-13
1022200022,2022-05-15
1022200024,2022-05-17
1022200032,2022-05-20
1022200040,2022-05-24
1022200049,2022-05-29
1022200056,2022-06-01
1022200060,2022-06-03
1022200064,2022-06-05
1022200070,2022-06-07
1022200077,2022-06-10
1022200086,2022-06-15
1022200091,2022-06-17
1022200097,2022-06-21
1022200106,2022-06-24
1022200110,2022-06-26
1022200114,2022-06-28
1022200119,2022-06-30
1022200125,2022-07-03
1022200132,2022-07-06
1022200139,2022-07-12
1022200148,2022-07-15
1022200152,2022-07-17
1022200155,2022-07-19
1022200159,2022-07-21
1022200167,2022-07-24
1022200169,2022-07-28
1022200176,2022-07-30
1022200186,2022-08-03
1022200191,2022-08-05
1022200198,2022-08-07
1022200201,2022-08-09
1022200208,2022-08-12
1022200212,2022-08-14
1022200002,2022-05-06
1022200013,2022-05-11
1022200020,2022-05-14
1022200028,2022-05-18
1022200037,2022-05-22
1022200041,2022-05-24
1022200047,2022-05-28
1022200053,2022-05-31
1022200065,2022-06-05
1022200072,2022-06-08
1022200073,2022-06-10
1022200079,2022-06-12
1022200093,2022-06-19
1022200098,2022-06-21
1022200105,2022-06-23
1022200111,2022-06-26
1022200116,2022-06-29
1022200123,2022-07-02
1022200131,2022-07-06
1022200134,2022-07-07
1022200146,2022-07-14
1022200149,2022-07-16
1022200157,2022-07-20
1022200162,2022-07-22
1022200164,2022-07-23
1022200174,2022-07-29
1022200177,2022-07-31
1022200185,2022-08-02
1022200192,2022-08-05
1022200195,2022-08-07
1022200200,2022-08-09
1022200205,2022-08-11
1022200214,2022-08-14
1022200005,2022-05-07
1022200019,2022-05-14
1022200023,2022-05-17
1022200031,2022-05-20
1022200036,2022-05-22
