player_id,name,name_last,name_i
100949,Alana Beard,Beard,A. Beard
100952,Jia Perkins,Perkins,J. Perkins
100973,Le'coe Willingham,Willingham,L. Willingham
101018,Edwige Lawson-Wade,Lawson-Wade,E. Lawson-Wade
101019,Janel McCarville,McCarville,J. McCarville
101020,Tan White,White,T. White
101021,Sandora Irvin,Irvin,S. Irvin
101023,Sancho Lyttle,Lyttle,S. Lyttle
101024,Temeka Johnson,Johnson,T. Johnson
101025,Kara Braxton,Braxton,K. Braxton
101026,Katie Mattera,Mattera,K. Mattera
101027,Kristin Haynie,Haynie,K. Haynie
101028,Loree Moore,Moore,L. Moore
101029,Kristen Mann,Mann,K. Mann
101030,Tanisha Wright,Wright,T. Wright
101032,Shyra Ely-Gash,Ely-Gash,S. Ely-Gash
101033,Roneeka Hodges,Hodges,R. Hodges
101039,Erin Phillips,Phillips,E. Phillips
101040,Chelsea Newton,Newton,C. Newton
101042,Jessica Moore,Moore,J. Moore
101047,Ashley Battle,Battle,A. Battle
101049,Cathrine Kraayeveld,Kraayeveld,C. Kraayeveld
101065,Anna Montanana,Montanana,A. Montanana
101075,Chen Nan,Nan,C. Nan
101080,Jennifer Lacy,Lacy,J. Lacy
101084,Laurie Koehn,Koehn,L. Koehn
200665,Cappie Pondexter,Pondexter,C. Pondexter
200671,Seimone Augustus,Augustus,S. Augustus
200673,Monique Currie,Currie,M. Currie
200674,Sophia Young-Malcolm,Young-Malcolm,S. Young-Malcolm
200675,Lisa Willis,Willis,L. Willis
200676,Candice Dupree,Dupree,C. Dupree
200679,La'Tangela Atkinson,Atkinson,L. Atkinson
200681,Barbara Turner,Turner,B. Turner
200682,Sherill Baker,Baker,S. Baker
200684,Scholanda Dorrell,Dorrell,S. Dorrell
200686,Shanna Zolman,Zolman,S. Zolman
200689,Nikki Blue,Blue,N. Blue
200691,Mistie Bass,Bass,M. Bass
200699,Tiffany Stansbury,Stansbury,T. Stansbury
200704,Kerri Gardin,Gardin,K. Gardin
200705,Zane Tamane,Tamane,Z. Tamane
200715,Yelena Leuchanka,Leuchanka,Y. Leuchanka
201046,Lindsey Harding,Harding,L. Harding
201047,Jessica Davenport,Davenport,J. Davenport
201048,Armintie Herrington,Herrington,A. Herrington
201049,Noelle Quinn,Quinn,N. Quinn
201050,Tiffany Jackson,Jackson,T. Jackson
201051,Bernice Mosby,Mosby,B. Mosby
201052,Katie Gearlds,Gearlds,K. Gearlds
201054,Alison Bales,Bales,A. Bales
201056,Ivory Latta,Latta,I. Latta
201058,Sandrine Gruda,Gruda,S. Gruda
201062,Shay Murphy,Murphy,S. Murphy
201067,Camille Little,Little,C. Little
201084,Brooke Smith,Smith,B. Smith
201086,Sidney Spencer,Spencer,S. Spencer
201477,Tamera Young,Young,T. Young
201480,Sylvia Fowles,Fowles,S. Fowles
201483,Amber Holt,Holt,A. Holt
201484,Ketia Swanier,Swanier,K. Swanier
201486,Lauren Ervin,Ervin,L. Ervin
201487,Alexis Hornbuckle,Hornbuckle,A. Hornbuckle
201488,Tasha Humphrey,Humphrey,T. Humphrey
201489,Olayinka Sanni,Sanni,O. Sanni
201490,Natasha Lacy,Lacy,N. Lacy
201492,Matee Ajavon,Ajavon,M. Ajavon
201493,Erica White,White,E. White
201494,Crystal Kelly,Kelly,C. Kelly
201495,Khadijah Whittington,Whittington,K. Whittington
201496,Candace Parker,Parker,C. Parker
201497,Shannon Bobbitt,Bobbitt,S. Bobbitt
201498,Sharnee Zoll-Norman,Zoll-Norman,S. Zoll-Norman
201499,Candice Wiggins,Wiggins,C. Wiggins
201500,Nicky Anosike,Anosike,N. Anosike
201501,Charde Houston,Houston,C. Houston
201502,Essence Carson,Carson,E. Carson
201503,Erlana Larkins,Larkins,E. Larkins
201506,LaToya Sanders,Sanders,L. Sanders
201507,Leilani Mitchell,Mitchell,L. Mitchell
201509,Laura Harper,Harper,L. Harper
201510,A'Quonesia Franklin,Franklin,A. Franklin
201516,Allie Quigley,Quigley,A. Quigley
201518,Crystal Langhorne,Langhorne,C. Langhorne
201530,Sequoia Holmes,Holmes,S. Holmes
201869,Anete Jekabsone-Zogota,Jekabsone-Zogota,A. Jekabsone-Zogota
201881,Angel McCoughtry,McCoughtry,A. McCoughtry
201882,Jessica Adair,Adair,J. Adair
201884,Chante Black,Black,C. Black
201885,Whitney Boddie,Boddie,W. Boddie
201886,DeWanna Bonner,Bonner,D. Bonner
201889,Marissa Coleman,Coleman,M. Coleman
201890,Tenae Davis-Cain,Davis-Cain,T. Davis-Cain
201892,Megan Frazee,Frazee,M. Frazee
201895,Quanitra Hollingsworth,Hollingsworth,Q. Hollingsworth
201896,Briann January,January,B. January
201898,Shalee Lehning,Lehning,S. Lehning
201901,Rashanda McCants,McCants,R. McCants
201902,Britany Miller,Miller,B. Miller
201903,Jelena Milovanovic,Milovanovic,J. Milovanovic
201904,Renee Montgomery,Montgomery,R. Montgomery
201907,Courtney Paris,Paris,C. Paris
201909,Sonja Petrovic,Petrovic,S. Petrovic
201911,Kristi Toliver,Toliver,K. Toliver
201913,Kia Vaughn,Vaughn,K. Vaughn
201914,Ashley Walker,Walker,A. Walker
201917,Christina Wirth,Wirth,C. Wirth
201918,Lindsay Wisdom-Hylton,Wisdom-Hylton,L. Wisdom-Hylton
201919,Shavonte Zellous,Zellous,S. Zellous
201922,Kristi Cirone,Cirone,K. Cirone
202239,Jana Vesela,Vesela,J. Vesela
202249,Abby Bishop,Bishop,A. Bishop
202250,Tina Charles,Charles,T. Charles
202251,Jayne Appel Marinelli,Marinelli,J. Marinelli
202252,Alysha Clark,Clark,A. Clark
202253,Kalana Greene,Greene,K. Greene
202254,Kelsey Griffin,Griffin,K. Griffin
202255,Allison Hightower,Hightower,A. Hightower
202256,Alison Lacey,Lacey,A. Lacey
202257,Monica Wright,Wright,M. Wright
202259,Epiphanny Prince,Prince,E. Prince
202261,Jacinta Monroe,Monroe,J. Monroe
202262,Ashley Houts,Houts,A. Houts
202263,Danielle McCray,McCray,D. McCray
202264,Chanel Mokango,Mokango,C. Mokango
202265,Jene Morris,Morris,J. Morris
202269,Amanda Thompson,Thompson,A. Thompson
202270,Angel Robinson,Robinson,A. Robinson
202276,Gabriela Marginean,Marginean,G. Marginean
202278,Abi Olajuwon,Olajuwon,A. Olajuwon
202280,Alexis Gray-Lawson,Gray-Lawson,A. Gray-Lawson
202283,Brittainey Raven,Raven,B. Raven
202285,Joy Cheek,Cheek,J. Cheek
202314,Michelle Campbell,Campbell,M. Campbell
202315,Andrea Riley,Riley,A. Riley
202316,Taylor Lilley,Lilley,T. Lilley
202318,Ewelina Kobryn,Kobryn,E. Kobryn
202623,Aneika Morello,Morello,A. Morello
