player_id,name,name_last,name_i,team,end_year,window,seasons,total_poss,off_poss,def_poss,ORAPM,DRAPM,RAPM,core_alpha,off_ts_rapm,def_ts_rapm,off_tov_rapm,def_tov_rapm,off_reb_rapm,def_reb_rapm,off_ts_pts,def_ts_pts,off_tov_pts,def_tov_pts,off_reb_pts,def_reb_pts,stage2_r2
1629566,Han Xu,Xu,H. Xu,NYL,2026,1Y,2026,1753.7,876.4,877.4,0.37,0.08,0.45,2000.0,-0.0,0.0038,0.2586,-0.6527,0.4431,-0.7421,-0.0,0.4,0.53,-1.22,0.27,1.22,0.9292
203026,Tiffany Hayes,Hayes,T. Hayes,GSV,2026,1Y,2026,1665.1,834.2,830.8,0.75,-0.32,0.44,2000.0,0.0015,-0.0005,0.0384,0.3115,0.7472,0.3076,0.25,-0.05,0.08,0.58,0.46,-0.51,0.9292
1627673,Jonquel Jones,Jones,J. Jones,NYL,2026,1Y,2026,3380.6,1687.1,1693.5,0.29,0.13,0.42,2000.0,-0.0025,0.0008,-0.4805,-0.4571,1.4417,-0.5347,-0.42,0.08,-0.98,-0.86,0.88,0.88,0.9292
95345444,Laura Juskaite,Juskaite,L. Juskaite,TOR,2026,1Y,2026,2772.7,1383.0,1389.7,1.77,-1.35,0.42,2000.0,0.0102,-0.004,0.0858,0.0884,-0.5191,0.3705,1.7,-0.42,0.18,0.17,-0.32,-0.61,0.9292
1642802,Lucy Olsen,Olsen,L. Olsen,WAS,2026,1Y,2026,475.6,241.0,234.7,-0.09,0.49,0.4,2000.0,0.0029,0.002,-0.1285,-0.3033,-0.5983,-0.3584,0.48,0.21,-0.26,-0.57,-0.37,0.59,0.9292
1630471,Maya Caldwell,Caldwell,M. Caldwell,MIN,2026,1Y,2026,1726.6,858.0,868.7,-1.22,1.55,0.33,2000.0,-0.006,0.004,-0.1936,0.652,0.5236,-0.1488,-1.0,0.42,-0.4,1.22,0.32,0.25,0.9292
1630993,Anneli Maley,Maley,A. Maley,NYL,2026,1Y,2026,188.4,91.0,97.4,-0.0,0.32,0.32,2000.0,-0.0025,-0.0003,0.0214,0.3388,0.6562,0.2629,-0.42,-0.03,0.04,0.63,0.4,-0.43,0.9292
1628878,Ariel Atkins,Atkins,A. Atkins,LAS,2026,1Y,2026,2984.0,1500.0,1484.1,-0.58,0.89,0.3,2000.0,-0.0002,-0.0014,-0.1188,0.5686,-1.6827,0.1225,-0.03,-0.15,-0.24,1.06,-1.03,-0.2,0.9292
1642320,Jaylyn Sherrod,Sherrod,J. Sherrod,ATL,2026,1Y,2026,248.6,125.2,123.4,0.59,-0.3,0.29,2000.0,0.0065,-0.0014,0.0243,0.1939,-0.8339,0.1563,1.08,-0.15,0.05,0.36,-0.51,-0.26,0.9292
204329,Kiah Stokes,Stokes,K. Stokes,GSV,2026,1Y,2026,2180.9,1090.3,1090.6,-1.97,2.25,0.28,2000.0,-0.0119,0.0091,0.4041,0.1894,-1.1273,-0.573,-1.98,0.96,0.83,0.35,-0.69,0.95,0.9292
1629568,Kennedy Burke,Burke,K. Burke,CON,2026,1Y,2026,2598.2,1306.9,1291.4,-0.91,1.15,0.24,2000.0,-0.0063,0.0028,-0.0428,0.1048,1.3005,-0.1867,-1.05,0.3,-0.09,0.2,0.8,0.31,0.9292
1642814,Taylor Thierry,Thierry,T. Thierry,SEA,2026,1Y,2026,218.2,110.9,107.2,-0.07,0.29,0.22,2000.0,-0.0019,0.0009,0.0161,0.0401,0.4393,-0.0787,-0.32,0.1,0.03,0.08,0.27,0.13,0.9292
95106170,Ndjakalenga Mwenentanda,Mwenentanda,N. Mwenentanda,GSV,2026,1Y,2026,50.2,25.5,24.7,0.3,-0.08,0.22,2000.0,0.0023,-0.0005,-0.0003,0.005,0.0208,0.0684,0.38,-0.05,-0.0,0.01,0.01,-0.11,0.9292
95345325,Awa Fam,Fam,A. Fam,SEA,2026,1Y,2026,2861.6,1425.3,1436.3,0.59,-0.37,0.22,2000.0,0.0006,-0.0005,-0.2737,-0.1138,0.7594,0.1225,0.1,-0.05,-0.56,-0.21,0.47,-0.2,0.9292
95364343,Ornella Bankole,Bankole,O. Bankole,TOR,2026,1Y,2026,58.5,28.8,29.7,0.01,0.18,0.19,2000.0,-0.0011,0.0005,0.0143,0.0432,0.029,0.018,-0.18,0.05,0.03,0.08,0.02,-0.03,0.9292
1630115,Joyner Holmes,Holmes,J. Holmes,SEA,2026,1Y,2026,70.2,34.2,36.0,-0.21,0.38,0.18,2000.0,-0.0013,0.0009,-0.0442,0.1287,0.1778,-0.0263,-0.22,0.1,-0.09,0.24,0.11,0.04,0.9292
1628279,Brittney Sykes,Sykes,B. Sykes,TOR,2026,1Y,2026,1622.6,809.6,813.0,0.49,-0.36,0.13,2000.0,-0.0016,-0.0005,0.4096,0.3629,-0.4781,0.346,-0.27,-0.05,0.84,0.68,-0.29,-0.57,0.9292
94433634,Ashten Prechtel,Prechtel,A. Prechtel,GSV,2026,1Y,2026,84.1,43.0,41.2,0.28,-0.16,0.13,2000.0,0.0015,-0.0004,-0.0268,0.0967,-0.0774,0.0892,0.25,-0.04,-0.05,0.18,-0.05,-0.15,0.9292
95107515,Laura Ziegler,Ziegler,L. Ziegler,LAS,2026,1Y,2026,99.7,51.7,48.1,0.08,0.04,0.12,2000.0,-0.0004,-0.0003,0.1332,0.0871,-0.2904,0.0452,-0.07,-0.03,0.27,0.16,-0.18,-0.07,0.9292
1629567,Natisha Hiedeman,Hiedeman,N. Hiedeman,SEA,2026,1Y,2026,3597.9,1801.6,1796.3,0.65,-0.58,0.07,2000.0,0.0033,-0.0001,0.1641,-0.0902,-0.4498,0.0533,0.55,-0.01,0.34,-0.17,-0.28,-0.09,0.9292
1630143,Luisa Geiselsöder,Geiselsöder,L. Geiselsöder,POR,2026,1Y,2026,1115.8,561.0,554.8,-0.16,0.22,0.05,2000.0,-0.0044,0.0002,0.0663,0.6333,0.329,0.4126,-0.73,0.02,0.14,1.18,0.2,-0.68,0.9292
201886,DeWanna Bonner,Bonner,D. Bonner,PHO,2026,1Y,2026,3287.2,1657.6,1629.6,-1.32,1.27,-0.04,2000.0,-0.0038,0.001,0.165,0.2045,-0.8935,-0.185,-0.63,0.11,0.34,0.38,-0.55,0.31,0.9292
1629496,Ezi Magbegor,Magbegor,E. Magbegor,SEA,2026,1Y,2026,585.9,292.0,293.9,-0.91,0.85,-0.05,2000.0,-0.0013,0.0022,0.0567,0.2762,-1.4992,-0.0279,-0.22,0.23,0.12,0.52,-0.92,0.05,0.9292
