name,season,team,games,minutes,poss,pts,fg2a,fg3a,fta,orb,drb,ast,stl,blk,tov,pf,pts100,fg2a100,fg3a100,fta100,orb100,drb100,ast100,stl100,blk100,tov100,pf100,dre,dre_rapm_scale,dre_total,dre_rank
Madina Okot,2026,ATL,27,261.0,545.0480741506161,168.0,103.0,8.0,44.0,34.0,66.0,6.0,8.0,8.0,34.0,42.0,30.822969196213624,18.897415638154783,1.4677604379149345,8.072682408532138,6.237981861138472,12.109023612798211,1.1008203284362008,1.4677604379149345,1.4677604379149345,6.237981861138472,7.705742299053406,2.468,0.927,13.45,76
Jovana Nogic,2026,PHX,16,321.0,647.794114810971,166.0,43.0,76.0,38.0,7.0,10.0,26.0,10.0,0.0,23.0,36.0,25.625425764857322,6.637911493306416,11.73212263933227,5.866061319666135,1.0805902430963932,1.5437003472805617,4.0136209029294605,1.5437003472805617,0.0,3.5505107987452917,5.5573212502100215,2.205,0.829,14.28,77
Laeticia Amihere,2026,GS,24,281.0,545.3539329528693,86.0,64.0,8.0,41.0,36.0,46.0,28.0,10.0,18.0,21.0,39.0,15.76957546346921,11.735498019325924,1.4669372524157405,7.51805341863067,6.601217635870832,8.434889201390508,5.134280383455091,1.8336715655196754,3.300608817935416,3.850710287591318,7.151319105526735,2.077,0.781,11.33,78
Dominique Malonga,2026,SEA,23,585.0,1226.807298691096,370.0,272.0,43.0,78.0,59.0,146.0,35.0,20.0,29.0,65.0,66.0,30.15958581227549,22.171371191726845,3.5050329457509353,6.357966738804022,4.809231251146632,11.900809536735734,2.852933793053087,1.630247881744621,2.3638594285297003,5.298305615670018,5.379818009757249,2.063,0.776,25.31,79
Rebekah Gardner,2026,NY,29,430.0,870.3867155651294,150.0,78.0,32.0,39.0,24.0,42.0,36.0,14.0,5.0,22.0,43.0,17.23371891109427,8.96153383376902,3.6765267010334446,4.48076691688451,2.757395025775083,4.825441295106395,4.136092538662624,1.608480431702132,0.5744572970364756,2.527612106960493,4.94033275451369,1.996,0.75,17.37,80
Kiah Stokes,2026,GS,28,616.0,1198.0568741309442,100.0,47.0,46.0,15.0,23.0,116.0,32.0,20.0,50.0,13.0,66.0,8.346849148755044,3.9230190999148706,3.83955060842732,1.2520273723132567,1.91977530421366,9.682345012555851,2.670991727601614,1.669369829751009,4.173424574377522,1.0850903893381556,5.508920438178329,1.963,0.738,23.52,81
Monique Akoa Makani,2026,PHX,19,445.0,887.9987424714053,178.0,77.0,55.0,44.0,2.0,37.0,48.0,22.0,4.0,38.0,57.0,20.04507343159124,8.671183450744525,6.193702464817519,4.954961971854015,0.2252255441751825,4.166672567240877,5.4054130602043795,2.4774809859270075,0.450451088350365,4.279285339328467,6.418928008992701,1.8,0.677,15.98,82
Tyasha Harris,2026,IND,24,358.0,749.2067595405232,112.0,43.0,50.0,22.0,3.0,26.0,56.0,7.0,4.0,16.0,32.0,14.9491443548491,5.739403636236708,6.6737251584147765,2.936439069702502,0.40042350950488664,3.470337082375684,7.47457217742455,0.9343215221780687,0.5338980126731822,2.1355920506927286,4.271184101385457,1.791,0.673,13.42,83
Laura Juskaite,2026,TOR,28,674.0,1390.2320933904075,276.0,124.0,82.0,64.0,27.0,81.0,46.0,36.0,7.0,50.0,102.0,19.852800213157877,8.91937400881006,5.898295715503426,4.603547875514869,1.9421217599828355,5.826365279948507,3.3088000355263123,2.589495679977114,0.5035130488844388,3.5965217777459917,7.336904426601823,1.713,0.644,23.81,84
Makayla Timpson,2026,IND,28,441.0,931.9872608463726,115.0,75.0,0.0,32.0,42.0,69.0,13.0,14.0,20.0,16.0,49.0,12.33922445415876,8.047320296190497,0.0,3.4335233263746114,4.506499365866678,7.4035346724952555,1.394868851339686,1.5021664552888927,2.1459520789841324,1.7167616631873057,5.257582593511124,1.596,0.6,14.87,85
Satou Sabally,2026,NY,13,217.0,437.22864188195615,135.0,46.0,52.0,29.0,5.0,31.0,25.0,1.0,2.0,22.0,34.0,30.876293789656984,10.520811217216455,11.893090941201208,6.632685332592982,1.1435664366539624,7.090111907254566,5.717832183269811,0.22871328733079246,0.45742657466158493,5.0316923212774345,7.776251769246945,1.512,0.568,6.61,86
Noemie Brochant,2026,PHX,29,643.0,1298.018659175065,154.0,64.0,71.0,9.0,13.0,49.0,50.0,29.0,7.0,22.0,45.0,11.864236227379985,4.930591678911163,5.469875143792071,0.6933644548468822,1.00152643477883,3.774984254166359,3.852024749149346,2.2341743545066204,0.5392834648809084,1.694890889625712,3.466822274234411,1.497,0.562,19.43,87
Maya Caldwell,2026,MIN,30,424.0,872.4202871173865,132.0,62.0,61.0,19.0,23.0,43.0,33.0,22.0,7.0,22.0,41.0,15.130322156554692,7.106666467472659,6.992042814771487,2.1778494013222667,2.6363440121269544,4.928817066150392,3.782580539138673,2.521720359425782,0.8023655689082034,2.521720359425782,4.699569760748049,1.425,0.536,12.43,88
Awak Kuier,2026,DAL,26,424.0,852.3913805372356,139.0,69.0,45.0,23.0,17.0,62.0,24.0,13.0,30.0,25.0,45.0,16.307063066779566,8.094873033149568,5.279265021619284,2.698291011049856,1.9943890081672848,7.2736540297865675,2.815608011530285,1.525121006245571,3.5195100144128557,2.932925012010713,5.279265021619284,1.412,0.531,12.04,89
Awa Fam,2026,SEA,25,743.0,1539.8795153120777,275.0,127.0,102.0,28.0,48.0,103.0,51.0,21.0,26.0,46.0,73.0,17.858540052353867,8.247398496905241,6.6238948557821615,1.8183240780578485,3.1171269909563115,6.688835001427085,3.3119474278910808,1.3637430585433863,1.688443786768002,2.987246699666465,4.74063063207939,1.383,0.52,21.3,90
Flau'jae Johnson,2026,SEA,31,880.0,1813.244591858991,423.0,236.0,140.0,117.0,32.0,124.0,91.0,40.0,25.0,79.0,85.0,23.328347532327566,13.015342831274953,7.7209660863495495,6.452521657877838,1.7647922483084684,6.838569962195315,5.018627956127207,2.2059903103855856,1.378743943990991,4.356830863011531,4.687729409569369,1.312,0.493,23.79,91
Aicha Coulibaly,2026,CHI,18,228.0,481.44553118560896,81.0,49.0,14.0,40.0,11.0,38.0,9.0,14.0,4.0,11.0,28.0,16.824333128719505,10.17768300379328,2.907909429655223,8.308312656157781,2.2847859804433894,7.892897023349891,1.8693703476355004,2.907909429655223,0.8308312656157779,2.2847859804433894,5.815818859310446,1.158,0.435,5.58,92
